node,delay[sec],bandwidth[bytes/sec]
C,1.712799072265625,50.210209354120266
A,0.10967254638671875,784.1524869565218
C,0.308990478515625,278.32572839506173
A,0.19621849060058594,433.1905710814095
C,0.17380714416503906,489.0477914951989
A,0.5612373352050781,151.4510790144435
C,0.7154941558837891,118.79901366211263
C,0.2655982971191406,323.7972567324955
A,0.5662441253662109,151.87795536842106
C,0.5738735198974609,149.85880515164104
C,0.21409988403320312,401.68167483296213
C,0.2079010009765625,413.65842201834863
A,0.1804828643798828,476.49952972258916
C,0.16117095947265625,527.3902958579881
B,0.2548694610595703,337.42763704396634
C,0.5815029144287109,147.89263796637965
C,0.560760498046875,153.36315646258504
C,0.2703666687011719,318.0865467372134
C,0.4901885986328125,175.44267704280156
A,0.5712509155273438,148.79626043405676
A,0.3268718719482422,263.10003209336253
A,0.19216537475585938,447.53119602977665
B,0.5638599395751953,152.52014545454546
B,0.2779960632324219,305.7597255574614
B,0.28324127197265625,300.09750841750844
A,0.2675056457519531,321.4885418894831
A,0.3807544708251953,225.86734126487164
C,0.19240379333496094,446.97663444857494
C,0.2694129943847656,319.2125168141593
C,0.25725364685058594,330.4131974050046
C,0.20074844360351562,428.3968456057007
C,0.46515464782714844,184.8847483341876
C,1.5807151794433594,54.405753242835594
C,0.2200603485107422,386.2576814734561
C,0.3552436828613281,239.27237583892617
C,0.843048095703125,102.01078733031675
C,0.5700588226318359,150.86162442492682
C,0.5645751953125,152.32691891891892
B,0.6392002105712891,134.54313465124955
A,0.240325927734375,357.8473650793651
C,0.2009868621826172,422.9132147093713
B,0.33664703369140625,255.4604419263456
C,0.18548965454101562,463.6377172236504
A,0.2148151397705078,391.0338912319645
C,0.2694129943847656,319.2125168141593
C,0.202178955078125,420.4196226415094
C,0.5397796630859375,159.32426855123674
B,0.8683204650878906,97.89012630422845
A,1.9605159759521484,43.86600316186307
C,0.4639625549316406,183.20443987667008
A,0.23555755615234375,360.845991902834
C,0.2560615539550781,328.0461229050279
C,0.19288063049316406,445.87162422744126
B,0.22935867309570312,374.95856964656963
C,0.21839141845703125,393.7883668122271
A,0.21696090698242188,396.3847736263736
B,0.5097389221191406,168.71381852198317
C,0.1933574676513672,444.7720641183724
B,0.1354217529296875,635.0530704225353
C,0.18548965454101562,463.6377172236504
B,0.20432472229003906,420.8986511085181
C,0.20623207092285156,412.15704046242774
C,0.5846023559570312,145.39797716150082
C,0.6263256072998047,137.30877198325086
C,0.54931640625,156.5582222222222
C,0.4658699035644531,184.6008925281474
C,0.19741058349609375,435.640270531401
C,0.2567768096923828,334.92121077065923
A,0.31757354736328125,270.8034114114114
A,0.22149085998535156,388.27787298170074
B,0.4189014434814453,205.29888673875925
