node,delay[sec],bandwidth[bytes/sec]
B,13.453006744384766,6.392622975224187
A,27.874469757080078,3.085260482063739
C,9.532690048217773,8.916685591376336
C,0.5943775177001953,143.00675491375853
C,0.5061626434326172,169.90586151672161
C,0.5884170532226562,146.15483954619125
B,0.27179718017578125,316.41240701754384
B,0.30040740966796875,282.94907936507934
C,0.24390220642089844,352.60033626588466
A,0.5431175231933594,158.3451027216857
B,0.5481243133544922,156.89871422357547
A,0.5333423614501953,159.37230219043363
B,0.20241737365722656,424.86471613663133
C,0.5500316619873047,156.35463545730386
C,0.31948089599609375,269.1866746268657
C,0.629425048828125,136.6326303030303
A,0.6101131439208984,140.9574615084017
C,0.4792213439941406,179.4577830845771
C,0.5269050598144531,163.21725972850678
C,0.5605220794677734,153.42838962143767
B,0.2872943878173828,299.3445178423236
C,0.5242824554443359,164.03371714415644
C,0.3573894500732422,240.63385190126752
A,0.396728515625,214.25230769230768
A,0.25177001953125,341.58157575757576
B,0.5335807800292969,161.17522073279713
C,0.51116943359375,168.24167164179104
C,0.2830028533935547,303.88386183656274
B,0.30112266540527344,285.5978970704671
C,0.49495697021484375,173.75247784200386
C,0.49614906311035156,173.33500432484382
B,0.5662441253662109,151.87795536842106
C,0.4928112030029297,174.5090198355104
C,0.5524158477783203,155.67982045748812
B,0.20122528076171875,422.4121327014218
C,0.15974044799804688,538.3733492537314
B,0.6229877471923828,138.0444485265978
B,0.3345012664794922,254.1096507483963
C,0.37097930908203125,231.8188586118252
B,0.36597251892089844,234.99032182410423
C,0.47469139099121094,181.1703385233551
B,0.5056858062744141,170.0660744931636
C,0.2796649932861328,307.510779198636
C,0.2472400665283203,347.84006171648986
A,0.6678104400634766,128.77905890753303
A,0.8156299591064453,105.43997193802981
B,0.5886554718017578,146.0956435803969
C,0.4966259002685547,173.16857609217476
A,0.30612945556640625,280.9269034267913
C,0.2779960632324219,309.3568987993139
B,0.30493736267089844,282.0251321344801
C,0.5230903625488281,164.40754056517775
C,0.4112720489501953,209.10732985507246
C,0.31495094299316406,273.0583981831945
B,0.6670951843261719,128.9171350964975
C,0.7038116455078125,119.35011382113821
A,0.5123615264892578,163.9467361563518
C,0.5147457122802734,167.07278554886523
C,0.4711151123046875,182.54561943319837
B,0.6132125854492188,138.61424572317262
A,0.629425048828125,136.6326303030303
B,0.7619857788085938,112.86299874843554
A,0.5948543548583984,144.57320400801603
A,0.55694580078125,154.4135890410959
C,0.30922889709472656,274.8772860447186
C,0.7009506225585938,121.26389115646259
C,0.2961158752441406,290.42684702093396
C,0.4191398620605469,205.1821069397042
B,0.2224445343017578,386.61323043944265
C,0.5216598510742188,164.85838391224863
A,0.2779960632324219,309.3568987993139
C,0.4723072052001953,182.08487834427058
C,0.3330707550048828,252.1986657122405
C,0.43892860412597656,193.65336230309615
C,0.38814544677734375,221.56642751842753
C,0.6227493286132812,133.2799509954058
C,0.2567768096923828,334.92121077065923
C,0.4715919494628906,182.36104347826088
A,0.5872249603271484,144.7486155095412
C,0.4718303680419922,182.26889540171803
B,0.7541179656982422,112.71446095478976
C,0.5059242248535156,168.00934967012253
C,0.2923011779785156,290.79595432300164
C,0.5655288696289062,152.07004384485666
A,0.2529621124267578,339.9718605089538
A,0.5266666412353516,161.39241285649615
A,0.7872581481933594,109.2398982434888
B,0.5819797515869141,146.0531913150348
A,0.6973743438720703,123.31970735042735
C,0.21696090698242188,396.3847736263736
B,0.34499168395996094,249.28137111264687
A,0.5633831024169922,152.6492357173085
B,0.583648681640625,145.63555555555556
C,0.3349781036376953,256.73319857651245
B,0.5910396575927734,143.81437676482452
C,0.4413127899169922,194.87311939492167
C,0.4963874816894531,171.23719500480308
C,0.4787445068359375,177.54772908366533
B,7.181644439697266,11.974973242148597
C,0.4620552062988281,186.12494530443757
C,0.6058216094970703,141.9559795356159
B,0.22912025451660156,375.34874505723207
C,0.42438507080078125,200.289797752809
C,0.6444454193115234,128.7929086200518
A,0.6082057952880859,139.75532732261857
C,0.25916099548339844,331.8400588776449
C,0.24056434631347656,357.49270961347867
C,0.2796649932861328,307.510779198636
C,0.4496574401855469,191.256704135737
A,0.26869773864746094,316.3405856255546
C,0.2942085266113281,292.3096790923825
B,0.3409385681152344,252.24485594405596
A,0.2448558807373047,351.2270146056475
A,0.2758502960205078,304.51299567847883
C,0.46825408935546875,183.66096945010185
C,0.2205371856689453,385.4225297297297
A,0.5962848663330078,142.5493162734906
C,0.1964569091796875,437.75502912621357
C,0.2529621124267578,336.01869934024506
C,0.38909912109375,221.0233725490196
C,0.4787445068359375,177.54772908366533
C,0.36334991455078125,236.6864461942257
C,0.22268295288085938,386.1992976445396
C,0.5238056182861328,164.1830423304506
C,0.5321502685546875,159.72931899641577
A,0.2932548522949219,289.85027642276424
C,0.2472400665283203,347.84006171648986
A,0.6902217864990234,124.59763177892918
C,0.5552768707275391,153.0767883211679
B,0.6744861602783203,127.50446942382467
C,0.49424171447753906,174.0039286058852
C,0.47397613525390625,179.3339235412475
A,0.6399154663085938,134.39275111773472
C,0.4658699035644531,184.6008925281474
C,0.9417533874511719,91.31902379746836
C,0.6403923034667969,134.29268205510053
C,0.5388259887695312,159.60625840707965
B,0.26988983154296875,314.9433215547703
B,0.2810955047607422,305.94583884648006
C,0.324249267578125,265.2280470588235
C,0.34546852111816406,246.04267770876467
A,0.40078163146972656,214.58069244497324
C,0.18024444580078125,466.0337777777778
C,0.5450248718261719,157.79096412948383
B,0.5750656127929688,149.54815257048094
C,0.4851818084716797,177.25314201474202
A,0.6246566772460938,136.07474809160306
B,0.6783008575439453,126.78739683655536
C,0.2338886260986328,367.696375127421
B,0.5738735198974609,149.85880515164104
A,0.37479400634765625,229.45937913486006
A,0.5469322204589844,157.24069049694856
A,0.5359649658203125,160.45824911032028
A,0.2689361572265625,319.7784964539007
C,0.5242824554443359,164.03371714415644
B,0.28705596923828125,299.5931428571429
C,0.3104209899902344,277.0431213517665
A,0.23818016052246094,356.8727127127127
C,0.4048347473144531,212.43235806831566
C,0.4801750183105469,179.10136246276068
C,0.5066394805908203,167.77216
C,0.331878662109375,256.1177011494253
A,0.2048015594482422,419.918677532014
C,0.4801750183105469,179.10136246276068
C,0.7941722869873047,107.02967277093965
C,0.6024837493896484,141.0826434507321
C,0.29587745666503906,290.6608734891217
C,0.5357265472412109,160.52965910102358
C,0.26226043701171875,327.91831272727273
C,0.43964385986328125,195.61287635574837
B,0.5965232849121094,142.49234212629895
B,0.3731250762939453,227.80564856230032
C,0.4487037658691406,191.6632008501594
B,0.21219253540039062,405.29229662921347
A,0.18835067749023438,456.5951189873418
B,0.26917457580566406,315.78019486271035
B,0.21529197692871094,399.4575238095238
B,0.29540061950683594,291.13005972558517
B,0.31757354736328125,270.8034114114114
A,0.5042552947998047,170.5485314420804
B,0.2865791320800781,300.0916339434276
B,0.0972747802734375,884.0934901960784
A,0.13566017150878906,633.9369841827768
A,0.2753734588623047,308.67172294372295
A,0.2913475036621094,295.18015057283145
A,0.29754638671875,289.0305641025641
B,0.29206275939941406,294.4572604081633
A,0.18286705017089844,470.2870195567145
A,0.30159950256347656,281.83070355731223
A,0.28252601623535156,304.3967459915612
A,0.22339820861816406,384.9628004268943
B,0.2758502960205078,308.1381503889369
B,0.2944469451904297,292.0729910931174
A,0.22840499877929688,376.5241586638831
B,0.17595291137695312,488.7671327913279
A,0.24580955505371094,349.8643491755577
B,0.2288818359375,375.73973333333333
B,0.2951622009277344,291.3652213247173
A,0.2429485321044922,353.9844396467125
A,0.2300739288330078,373.7928953367876
B,0.16617774963378906,517.5181406025825
A,0.2334117889404297,364.1632686414709
B,0.2543926239013672,338.0601162136832
A,0.32401084899902344,265.42321118469465
A,0.339508056640625,250.36224719101125
A,0.3418922424316406,248.6163458856346
B,0.2353191375732422,361.21159067882473
B,0.2751350402832031,308.9392027729636
B,0.8041858673095703,106.9404518233027
B,0.2808570861816406,306.20555517826824
B,0.24080276489257812,352.9859801980198
B,0.2627372741699219,327.32317967332125
A,0.20766258239746094,414.13334557979334
A,0.2410411834716797,356.7855034619189
B,0.2789497375488281,304.71439316239315
B,0.24080276489257812,357.1387564356436
B,0.27108192443847656,317.2472682497801
A,0.43272972106933594,198.73837134986226
B,0.30231475830078125,284.47172239747636
B,0.6725788116455078,127.86605600850763
B,0.3085136413574219,278.75590726429675
A,0.25916099548339844,331.8400588776449
B,0.2734661102294922,314.4813809938971
B,0.270843505859375,317.5265352112676
A,0.22554397583007812,381.3003636363636
A,0.17952919006347656,479.03073572377156
B,0.19097328186035156,450.3247740324594
A,0.2689361572265625,319.7784964539007
A,0.22292137145996094,381.3003636363636
A,0.1995563507080078,425.9448506571087
A,0.27179718017578125,316.41240701754384
B,0.26869773864746094,316.3405856255546
B,0.2753734588623047,312.303154978355
A,0.3211498260498047,264.6739717891611
B,0.3216266632080078,264.28157153447
B,0.26726722717285156,318.03375557537913
A,1.382589340209961,61.478848077254696
B,0.32830238342285156,258.90765432098766
B,0.2338886260986328,367.696375127421
A,0.2732276916503906,314.755797556719
B,0.3561973571777344,241.4391860776439
A,0.2586841583251953,332.4517456221198
A,0.2295970916748047,370.213748701973
A,0.2846717834472656,298.58948073701845
B,0.293731689453125,289.3797402597403
A,0.2162456512451172,397.6958588754135
A,0.2486705780029297,345.83906423777563
A,0.19860267639160156,427.99020408163267
B,0.2803802490234375,306.7263129251701
A,0.23317337036132812,368.8242781186094
A,0.8904933929443359,96.57567443105756
B,0.2894401550292969,297.12532454695224
B,0.24437904357910156,351.9123356097561
A,0.2243518829345703,383.3264017003188
A,0.2410411834716797,352.63683481701287
B,0.2906322479248047,295.90659885151763
A,0.3113746643066406,276.19459724349156
A,0.14019012451171875,613.4526258503402
A,0.2887248992919922,297.8613905862923
B,0.8912086486816406,96.49816586409845
B,0.15616416931152344,544.2989923664122
A,0.48613548278808594,176.9054163805787
B,0.34618377685546875,248.42296418732784
B,0.24127960205078125,356.4329486166008
A,0.3070831298828125,280.0544596273292
B,1.0194778442382812,83.37601496725912
A,0.31948089599609375,266.0565970149254
B,0.3273487091064453,262.7167836853605
A,0.3085136413574219,278.75590726429675
B,0.23412704467773438,367.3219389002037
A,0.25391578674316406,334.7566572769953
B,1.1897087097167969,72.28660200400802
B,0.2658367156982422,323.5068556053812
A,0.2491474151611328,345.17717129186605
B,0.24437904357910156,351.9123356097561
B,0.2579689025878906,333.3735157116451
B,0.2682209014892578,316.9029688888889
A,0.2560615539550781,335.85674487895716
B,0.232696533203125,369.58006557377047
B,0.22935867309570312,374.95856964656963
A,0.3037452697753906,283.1319811616954
B,0.2644062042236328,321.4750586113616
B,0.28896331787109375,294.15498349834985
A,0.2181529998779297,394.21873661202187
A,0.2849102020263672,301.84949288702927
A,0.2830028533935547,303.88386183656274
B,0.301361083984375,285.37194936708863
B,0.3361701965332031,255.82279716312055
A,0.2372264862060547,358.3073768844221
B,0.30684471130371094,280.27206216006215
B,0.24056434631347656,357.49270961347867
