node,delay[sec],bandwidth[bytes/sec]
B,0.12063980102539062,712.8658972332016
C,0.2894401550292969,297.12532454695224
C,0.23436546325683594,362.6814242115972
B,0.5872249603271484,146.45154039788875
B,0.7522106170654297,114.32968114104595
B,0.7257461547851562,117.12084099868594
A,0.6892681121826172,124.77002559667935
C,0.4870891571044922,176.55905237395987
C,0.5629062652587891,151.00204997882253
B,1.5535354614257812,54.71391037446286
B,0.3676414489746094,233.92356939040206
A,0.6222724914550781,138.2031203065134
B,0.2548694610595703,337.42763704396634
C,0.5376338958740234,159.96015254988913
C,0.5357265472412109,158.66303515798842
B,0.5466938018798828,157.3092647187091
C,0.6241798400878906,137.78080366692132
C,0.4916191101074219,174.93217458777886
C,0.476837158203125,180.355072
B,0.274658203125,313.1164444444444
C,0.41985511779785156,204.83256331629755
A,0.5140304565429688,165.35985157699443
C,10.332345962524414,8.32337596049565
C,0.4715919494628906,182.36104347826088
B,0.36025047302246094,235.9469490403706
C,0.2849102020263672,298.3396150627615
C,0.5636215209960938,152.5846632825719
B,0.4677772521972656,181.71041794087665
C,0.5409717559814453,158.97317937417364
B,0.19478797912597656,441.50568421052634
B,0.6234645843505859,137.93886959847038
C,0.46706199645996094,184.12973149566105
C,0.17499923706054688,491.43071389645775
C,0.4088878631591797,210.32661457725948
C,0.5533695220947266,155.41152261956054
B,0.46753883361816406,183.94193982661906
C,0.682830810546875,125.94627932960894
B,0.5793571472167969,146.71433744855966
C,0.7431507110595703,115.72349823548284
A,0.5664825439453125,151.81403367003367
A,0.7412433624267578,114.67219041492442
B,0.4711151123046875,182.54561943319837
C,0.21696090698242188,391.77564835164833
C,0.3790855407714844,224.22379874213837
C,0.2722740173339844,315.8582697022767
A,0.5247592926025391,163.8846633348478
B,0.2963542938232422,290.1931971037812
B,0.469207763671875,183.28767479674798
C,0.27942657470703125,307.77316040955634
C,0.25582313537597656,336.1697520969245
B,0.5548000335693359,151.40590287924365
B,0.22792816162109375,377.3118661087866
B,0.469207763671875,183.28767479674798
C,0.25153160095214844,337.92970616113746
C,0.2636909484863281,322.34705244122966
C,0.5695819854736328,150.98792130598576
B,0.24318695068359375,353.6373960784314
C,0.2052783966064453,414.07182346109175
B,0.4749298095703125,181.07938955823292
B,0.4639625549316406,181.04909352517987
C,0.2467632293701172,348.51221642512076
C,0.4661083221435547,182.36104347826088
C,0.6651878356933594,129.28678996415772
C,0.6453990936279297,133.2508843738456
C,0.3161430358886719,272.028766214178
C,0.5567073822021484,154.47971905781586
B,0.5178451538085938,166.0728103130755
B,0.7359981536865234,115.48942014901199
C,1.2710094451904297,67.6627544550741
C,0.232696533203125,369.58006557377047
C,0.4718303680419922,180.14948964123295
C,0.6921291351318359,124.25426937650707
C,0.1876354217529297,458.33563405336724
C,0.23102760314941406,372.24989060887515
C,0.16307830810546875,527.3540116959065
C,0.14352798461914062,599.1862857142858
B,0.1685619354248047,510.1982234794908
C,0.16164779663085938,532.0208613569322
C,0.17595291137695312,483.0837940379404
C,0.19025802612304688,452.01772431077694
B,0.15807151794433594,544.057532428356
C,0.16427040100097656,523.5270595065313
B,0.1876354217529297,458.33563405336724
C,0.5359649658203125,158.59245551601424
B,0.652313232421875,131.83850292397662
B,0.6177425384521484,139.21657429563874
C,0.7770061492919922,110.68123473458115
C,0.4322528839111328,198.9576083838941
B,0.5629062652587891,152.77854468445574
B,0.33164024353027344,259.3171416247304
C,0.41747093200683594,206.0023666476299
C,0.5965232849121094,144.16872262190248
C,0.49185752868652344,172.81427047988367
A,0.49948692321777344,172.17667971360382
B,0.5919933319091797,145.27190656463955
C,0.4191398620605469,205.1821069397042
C,0.5507469177246094,156.1515774891775
C,0.29015541076660156,292.9464585045193
C,0.6051063537597656,140.47117415287627
B,0.5238056182861328,164.1830423304506
B,0.6721019744873047,126.46890386661937
A,0.3402233123779297,249.83590749824808
C,0.2410411834716797,356.7855034619189
A,0.26297569274902344,323.22378966455125
A,0.5185604095458984,165.8437443678161
B,0.5517005920410156,154.06907519446844
C,0.4317760467529297,199.1773296521259
A,0.6818771362304688,126.12242797202798
C,0.36835670471191406,230.75458899676374
B,0.4801750183105469,179.10136246276068
C,0.8146762847900391,105.56340181445712
B,0.27871131896972656,301.3871137724551
C,0.5955696105957031,142.72051240992795
B,0.461578369140625,186.31722314049586
