node,delay[sec],bandwidth[bytes/sec]
B,22.592782974243164,3.806525300492819
C,0.69427490234375,122.42989010989011
C,0.6456375122070312,131.6528212703102
C,0.5190372467041016,165.69138447404686
C,0.2002716064453125,424.42361904761907
C,0.2696514129638672,318.93027763041556
C,0.6670951843261719,128.9171350964975
C,0.40650367736816406,209.10019941348975
C,0.5612373352050781,153.23285641461342
C,0.476837158203125,178.25792
C,0.44608116149902344,192.79002886157136
B,0.6139278411865234,140.08160932038834
B,0.49185752868652344,174.8473795443529
C,0.5033016204833984,170.8716930364756
C,0.6659030914306641,127.64620121732904
C,0.4367828369140625,196.89418340611354
C,0.4992485046386719,172.2589035339064
C,0.5037784576416016,170.70995929957405
C,0.5424022674560547,158.55390945054944
C,0.22149085998535156,388.27787298170074
B,0.3218650817871094,264.0858074074074
B,0.3178119659423828,270.60025806451614
A,0.5080699920654297,167.2997841389019
C,0.20313262939453125,418.4458215962441
B,0.3960132598876953,217.16444551475016
C,0.339508056640625,250.36224719101125
B,0.1697540283203125,506.61537078651685
A,0.5085468292236328,169.1093033286451
C,0.5009174346923828,171.6849804854831
B,0.5161762237548828,166.60976628175518
C,0.4687309265136719,181.3407121057986
C,0.5626678466796875,152.8432813559322
B,0.37741661071777344,222.5657207833228
C,0.4718303680419922,182.26889540171803
C,0.5140304565429688,167.3052615955473
B,0.26726722717285156,318.03375557537913
B,0.5769729614257812,149.0537785123967
C,0.45228004455566406,190.14767738534528
B,0.5176067352294922,166.149306310456
B,0.5562305450439453,154.6121491641663
B,0.732421875,117.41866666666667
C,0.4725456237792969,179.87681130171543
C,0.5676746368408203,149.73365812683747
C,0.2949237823486328,291.60076313662086
C,0.5512237548828125,156.0164982698962
C,0.48923492431640625,173.7406627680312
C,0.4906654357910156,175.2721788143829
C,0.4761219024658203,178.52570856284427
B,0.22459030151367188,382.91947346072186
C,0.6823539733886719,123.10326205450734
C,0.5939006805419922,144.80535688478523
C,0.2715587615966797,316.6902054433714
B,0.7610321044921875,113.00443107769424
C,0.5249977111816406,160.00069754768393
