node,delay[sec],bandwidth[bytes/sec]
C,0.5910396575927734,145.50631060911658
A,0.19931793212890625,431.47146411483254
C,0.25272369384765625,336.33569811320757
C,0.2994537353515625,287.1896050955414
C,0.5781650543212891,148.74645113402062
C,0.45561790466308594,188.75465410779697
B,0.5133152008056641,167.53838550859265
C,0.5326271057128906,161.4638066248881
C,0.5142688751220703,165.2831896152063
C,0.3337860107421875,257.6501028571429
B,1.2187957763671875,68.9204882629108
C,0.5066394805908203,169.74595011764706
C,0.5259513854980469,163.5132112420671
B,0.217437744140625,395.51550877192983
C,0.6606578826904297,130.17327463009744
C,0.47278404235839844,179.78610186585982
C,0.3902912139892578,220.348285888821
C,0.47516822814941406,180.9885318615153
B,0.35691261291503906,240.95534001336006
B,0.6256103515625,137.46575609756098
B,0.4401206970214844,193.12884073672805
C,0.4191398620605469,205.1821069397042
C,0.5385875701904297,159.67691190792385
A,0.17309188842773438,496.84592837465567
C,0.6215572357177734,138.36215726889145
B,0.40650367736816406,211.5602017595308
C,0.4725456237792969,181.9930090817356
B,0.6461143493652344,133.1033741697417
C,0.5776882171630859,148.86922988031367
C,0.47516822814941406,180.9885318615153
B,0.621795654296875,138.30910429447852
C,0.5674362182617188,149.79657142857144
C,0.2028942108154297,423.86620916568745
B,0.5688667297363281,151.1777636211232
C,0.3261566162109375,260.61099415204677
C,0.34332275390625,250.49315555555555
C,0.5495548248291016,156.4903010845987
B,0.2796649932861328,307.510779198636
B,0.5211830139160156,165.00921500457457
C,0.4925727844238281,174.59348693126816
C,0.19550323486328125,439.89041951219514
B,0.2894401550292969,293.67037891268535
C,0.6334781646728516,135.7584283025969
C,0.2391338348388672,359.6312502492522
C,0.5354881286621094,158.73367764915406
B,0.43487548828125,195.4582456140351
C,0.5562305450439453,152.8143334762109
C,0.5602836608886719,153.49367829787235
B,0.5099773406982422,166.67407199625993
C,0.47969818115234375,179.27939562624255
A,0.4940032958984375,174.08790733590735
C,0.4646778106689453,185.07447101077474
C,0.47588348388671875,178.61515030060121
B,0.20885467529296875,411.7695707762557
C,0.5018711090087891,169.36619477434678
C,0.652313232421875,131.83850292397662
C,0.11897087097167969,722.8660200400801
C,0.5435943603515625,158.20620350877192
B,0.5714893341064453,150.4839983312474
B,0.22077560424804688,389.5357926565875
C,0.2503395080566406,343.5334704761905
A,0.606536865234375,140.13987421383646
B,0.30493736267089844,282.0251321344801
C,0.5223751068115234,164.63265358283888
C,0.2791881561279297,308.0359897523484
B,0.3998279571533203,215.0925128205128
C,0.5598068237304688,153.62442248722317
A,0.25534629821777344,336.79752007469654
C,0.4291534423828125,198.06435555555555
C,0.6055831909179688,142.01186771653542
B,0.5028247833251953,169.04496917970602
B,0.2486705780029297,345.83906423777563
C,0.20003318786621094,429.9286579261025
C,0.5280971527099609,160.95523250564335
B,0.7390975952148438,116.35811096774194
B,0.5948543548583984,144.57320400801603
B,0.6072521209716797,141.6215720455438
A,0.5552768707275391,154.87769171318163
C,0.5614757537841797,153.16778938428874
C,0.6074905395507812,139.91987441130297
C,0.5245208740234375,163.95915636363637
B,0.5183219909667969,165.92002943882244
C,0.5497932434082031,154.60357328707718
C,0.5896091461181641,145.85933845531744
C,0.5643367767333984,152.39127334178283
C,0.5083084106445312,169.1886228893058
C,0.6811618804931641,124.78678333916696
C,0.5788803100585938,148.56266227347612
A,0.3249645233154297,264.6442729273661
C,0.27823448181152344,309.09181148243357
C,0.40435791015625,212.6828679245283
B,0.5905628204345703,145.62379652805814
B,0.4248619079589844,202.4187115600449
B,0.20742416381835938,414.6093609195402
C,0.4703998565673828,180.69733400912315
B,0.5629062652587891,152.77854468445574
B,0.29921531677246094,287.41844143426295
C,0.29277801513671875,293.7379022801303
B,0.2505779266357422,343.2066070409134
B,0.5640983581542969,152.45568216398985
B,2.2127628326416016,38.865439500053874
A,0.560760498046875,151.57986394557824
B,0.48470497131347656,177.4275179537629
C,0.3688335418701172,230.45626373626374
B,0.5457401275634766,155.7517868064657
C,0.7069110870361328,121.65603507588533
C,0.20456314086914062,415.51962703962704
B,0.5040168762207031,170.62920719016083
A,0.4856586456298828,175.02004909180167
B,0.5207061767578125,165.16032234432234
B,0.48613548278808594,176.9054163805787
B,0.5338191986083984,161.10323537293434
B,0.3833770751953125,224.3222288557214
C,0.47397613525390625,179.3339235412475
A,0.63323974609375,135.8095421686747
B,0.45943260192871094,187.1874125583809
C,0.4544258117675781,189.2498132214061
C,0.5259513854980469,161.61189483227562
C,0.20623207092285156,417.00594682080924
B,0.1404285430908203,612.4111103565365
C,0.5564689636230469,154.54590574121679
C,0.6787776947021484,125.22509308043554
C,0.2999305725097656,286.7330238473768
C,0.47135353088378906,182.45328477491148
C,0.5292892456054688,162.48204684684686
C,0.4658699035644531,184.6008925281474
B,0.5428791046142578,158.41464382960035
A,0.30112266540527344,285.5978970704671
C,0.19478797912597656,441.50568421052634
C,0.4725456237792969,179.87681130171543
C,0.2205371856689453,389.95691243243243
B,0.6122589111328125,140.46345171339564
B,0.5233287811279297,162.4217949886105
B,0.31447410583496094,273.4724366944655
C,0.3838539123535156,224.04356770186337
A,0.4813671112060547,178.65782268449726
B,0.5085468292236328,167.1429160806376
B,0.5657672882080078,152.0059603876949
B,0.47016143798828125,182.91589452332659
A,0.7994174957275391,107.57833104682373
C,0.5433559417724609,158.27562264150944
A,0.28324127197265625,303.62806734006733
C,0.40030479431152344,214.83629779630732
C,0.6089210510253906,139.5911667971809
B,0.4642009735107422,185.264583461736
C,0.5893707275390625,145.9183430420712
B,0.3509521484375,245.04765217391304
A,0.2338886260986328,367.696375127421
B,0.5679130554199219,151.43163056255247
C,0.2942085266113281,288.91072933549435
C,0.484466552734375,177.51483464566928
B,0.5185604095458984,165.8437443678161
B,0.6229877471923828,138.0444485265978
C,0.23603439331054688,360.1170101010101
C,0.4584789276123047,187.57677795111803
C,0.21147727966308594,406.6630710259301
A,0.6868839263916016,125.20310447761194
C,0.4475116729736328,192.17375812466702
C,0.5259513854980469,163.5132112420671
B,0.4966259002685547,173.16857609217476
C,0.5352497100830078,160.67266993318486
A,0.6337165832519531,135.70735289691498
C,0.48851966857910156,176.04204197169352
C,0.4715919494628906,182.36104347826088
B,0.6430149078369141,133.74495513533554
C,0.6074905395507812,141.5659905808477
C,1.0378360748291016,81.90118079485413
C,0.5538463592529297,155.27772018941025
C,0.5381107330322266,159.81840673460346
C,0.38886070251464844,221.1588865726548
C,0.6687641143798828,128.59541675579322
C,0.5729198455810547,148.36281315022887
C,0.31876564025878906,269.7906836200449
C,0.652313232421875,131.83850292397662
A,0.23794174194335938,357.23030060120243
B,0.23245811462402344,369.95912205128207
B,0.3476142883300781,247.40064746227708
B,0.2570152282714844,334.6105231910946
B,0.26535987854003906,324.08817969451934
B,0.3275871276855469,262.52557787481805
A,0.1838207244873047,467.84713878080413
B,0.3209114074707031,267.9867340267459
A,0.25916099548339844,331.8400588776449
B,0.31256675720214844,271.9419069412662
B,0.1277923583984375,672.9666865671642
A,0.2841949462890625,302.6091812080537
A,0.3008842468261719,285.8242028526149
B,0.23436546325683594,366.9482644964395
B,0.2906322479248047,295.90659885151763
B,0.8392333984375,102.47447272727273
B,0.28395652770996094,302.86326112510494
A,0.3008842468261719,285.8242028526149
B,0.25081634521484375,342.8803650190114
B,0.8687973022460938,98.98741602634468
A,0.2467632293701172,344.45974879227055
B,0.186920166015625,460.0894693877551
A,0.18978118896484375,453.1534472361809
B,0.25653839111328125,331.33442379182156
A,0.244140625,348.16
A,0.24080276489257812,348.833203960396
B,0.1742839813232422,481.9720054719562
B,0.1819133758544922,472.75248230668416
A,0.27060508728027344,317.8062942731278
B,0.1277923583984375,672.9666865671642
B,0.2410411834716797,352.63683481701287
B,0.6661415100097656,127.60051539012169
A,0.3027915954589844,284.02373543307084
A,0.2582073211669922,333.06569159741457
A,0.1506805419921875,570.7438987341773
A,0.3070831298828125,276.7980124223603
B,0.1347064971923828,638.4250336283186
A,0.25343894958496094,339.3322144873001
B,0.13828277587890625,621.9140413793103
B,0.2536773681640625,335.07127819548873
A,0.29397010803222656,292.5467510137875
A,0.2224445343017578,386.61323043944265
A,0.11897087097167969,722.8660200400801
B,0.2353191375732422,365.46113880445796
B,0.2384185791015625,356.51584
A,0.26297569274902344,327.0264224841342
B,0.2205371856689453,389.95691243243243
B,0.17547607421875,490.0953043478261
A,0.1780986785888672,477.2635073627845
B,0.2586841583251953,328.58602764976956
B,0.2415180206298828,347.80013425468906
B,0.9126663208007812,94.22940020898642
A,0.22912025451660156,375.34874505723207
B,0.1468658447265625,585.5684155844156
B,0.24318695068359375,349.5253333333333
A,0.22554397583007812,381.3003636363636
B,0.247955322265625,346.83667692307694
A,0.2675056457519531,317.75030303030303
B,0.2658367156982422,323.5068556053812
B,0.2532005310058594,339.65173634651603
A,0.7872581481933594,109.2398982434888
B,0.2789497375488281,308.29926837606837
B,0.29206275939941406,294.4572604081633
B,0.30922889709472656,278.1111364687741
A,0.24962425231933594,344.5178070678128
B,0.2663135528564453,322.9276132497762
A,0.24557113647460938,350.20402330097085
A,0.8792877197265625,97.80643817787418
A,0.11801719665527344,720.2340202020202
A,23.01645278930664,3.7364576021877394
A,0.3299713134765625,260.6287167630058
A,0.30350685119628906,283.35439434406914
A,0.2868175506591797,299.84218121363256
A,0.27751922607421875,309.88843986254295
A,20.165681838989258,4.264671072699542
A,0.24509429931640625,350.8853540856031
A,0.2288818359375,375.73973333333333
A,0.27298927307128906,311.3675458515284
A,0.28228759765625,304.65383783783784
A,0.27871131896972656,308.562997433704
A,21.97408676147461,3.913700757329167
A,20.044803619384766,4.290388752765421
A,9.824991226196289,8.753188478245043
A,3.087759017944336,27.85191444676087
A,22.83930778503418,3.765438112636359
A,0.2491474151611328,341.16348325358854
A,9.510278701782227,8.937698112261526
A,9.66024398803711,8.90246665679451
A,0.28228759765625,301.11135135135135
A,0.21910667419433594,392.5028770402611
A,21.40331268310547,4.01806959853852
A,0.8635520935058594,99.58866482606295
A,0.2932548522949219,293.2602796747967
A,11.446714401245117,7.513072920788986
A,9.21630859375,9.33128476821192
A,11.927604675292969,7.210165187495003
A,1.211404800415039,70.99195906317654
A,20.05934715270996,4.237426041480953
A,0.24628639221191406,349.1869738625363
A,12.000560760498047,7.166331783684984
A,17.83585548400879,4.821747971500756
A,0.29778480529785156,285.4410248198559
A,0.28014183044433594,306.9873565957447
A,19.948244094848633,4.261026664595011
A,0.278472900390625,308.8271780821918
A,0.22745132446289062,378.10287631027256
A,11.574268341064453,7.43027528529642
A,0.28586387634277344,300.84248874061717
A,11.966228485107422,7.186892687786411
A,0.2875328063964844,299.0963051409619
A,9.878396987915039,8.604634952815388
A,0.24366378784179688,352.94534637964773
A,21.138429641723633,4.021112326727648
A,0.2281665802001953,376.9176008359457
A,0.1709461212158203,497.2326917712692
A,0.27489662170410156,312.84487771032093
A,22.803306579589844,3.7713828781732257
A,21.409273147583008,3.970242212991525
A,0.2486705780029297,345.83906423777563
A,0.30040740966796875,282.94907936507934
A,0.2865791320800781,300.0916339434276
A,0.217437744140625,390.9164912280702
A,21.166563034057617,4.015767692810237
