node,delay[sec],bandwidth[bytes/sec]
C,9.478330612182617,9.07332773236071
C,0.7305145263671875,117.72524281984334
C,0.24962425231933594,344.5178070678128
B,0.5285739898681641,158.91814884979703
C,0.5128383636474609,167.69416271501626
C,0.18286705017089844,470.2870195567145
B,0.6039142608642578,142.40432056849585
C,0.6935596466064453,123.99798693709178
C,0.29754638671875,289.0305641025641
B,0.25272369384765625,340.2925886792453
C,0.22673606872558594,379.29562986330177
B,0.22554397583007812,381.3003636363636
C,0.4012584686279297,206.84921687462864
C,0.3101825714111328,277.2560676402767
C,0.4711151123046875,182.54561943319837
B,0.3001689910888672,286.50527720413027
C,0.46825408935546875,183.66096945010185
C,0.2467632293701172,348.51221642512076
B,0.19741058349609375,435.640270531401
B,0.4901885986328125,175.44267704280156
C,0.1971721649169922,436.1670423216445
C,0.33354759216308594,257.834270192995
C,0.5538463592529297,155.27772018941025
C,0.5471706390380859,157.17217603485838
C,0.6709098815917969,128.18413077469793
C,0.47087669372558594,182.63804759493672
C,0.6945133209228516,123.82771850326124
B,0.23818016052246094,361.0712152152152
C,0.23245811462402344,369.95912205128207
C,0.22101402282714844,384.5909816612729
C,0.47516822814941406,180.9885318615153
A,0.22125244140625,379.6568275862069
B,0.5087852478027344,169.0300581068416
C,0.3719329833984375,231.2244512820513
C,0.47707557678222656,180.26493953023487
C,0.5292892456054688,162.48204684684686
C,0.5886554718017578,146.0956435803969
B,0.5121231079101562,167.92837243947858
C,0.5025863647460938,169.12516129032258
B,0.6544589996337891,129.8782659380692
C,0.27298927307128906,315.03069344978167
B,0.5559921264648438,154.67844939965696
B,0.6098747253417969,141.01256606724004
C,0.5283355712890625,162.7753357400722
B,0.3209114074707031,264.87060921248144
C,0.4889965057373047,175.8703773768893
C,0.4754066467285156,180.89776529588767
C,0.6527900695800781,131.74220014609205
C,0.28443336486816406,302.3555272422464
C,0.3879070281982422,221.70260848186848
A,0.5314350128173828,161.82599551368327
B,0.7343292236328125,117.11368311688312
C,0.4971027374267578,173.00246714628298
C,0.7994174957275391,107.57833104682373
B,0.31638145446777344,268.6630293896006
B,0.2827644348144531,304.1400876897133
C,0.5202293395996094,165.31170669110907
B,0.3590583801269531,239.51536786188578
C,0.5376338958740234,159.96015254988913
B,0.522613525390625,164.55754744525547
B,1.6894340515136719,50.90462094270392
C,0.5559921264648438,154.67844939965696
B,0.47206878662109375,180.05850505050506
C,0.5130767822265625,167.6162379182156
C,0.4754066467285156,180.89776529588767
A,0.5218982696533203,164.7830717222476
C,0.47206878662109375,182.1768404040404
C,0.5185604095458984,163.9153287356322
C,0.4792213439941406,179.4577830845771
C,0.21576881408691406,398.5747447513812
C,0.5540847778320312,155.21090533562824
C,0.5323886871337891,161.5361146439767
C,0.5254745483398438,163.66158983666062
B,0.2300739288330078,373.7928953367876
B,0.4818439483642578,178.48102127659575
C,0.5295276641845703,162.40888968932913
B,0.7710456848144531,111.5368410636982
B,0.5640983581542969,152.45568216398985
C,0.5559921264648438,154.67844939965696
C,0.5941390991210938,144.74724879614766
C,0.5714893341064453,148.73418439716312
B,0.5166530609130859,166.45599630826027
C,0.4763603210449219,180.5356076076076
C,0.24199485778808594,355.37945221674875
C,0.6442070007324219,133.49746262028128
C,0.33926963806152344,253.48569501054112
C,0.3170967102050781,271.21063458646614
C,0.2818107604980469,305.1693265651438
B,0.49567222595214844,171.48429052429051
C,0.4756450653076172,180.80708972431077
C,0.5712509155273438,150.54680467445743
A,0.5381107330322266,159.81840673460346
C,0.5218982696533203,160.9509072635907
C,0.3266334533691406,263.29207591240873
C,0.3707408905029297,231.9679382636656
B,0.5121231079101562,165.97571694599628
C,0.47659873962402344,180.44529464732366
B,0.5695819854736328,150.98792130598576
B,0.6303787231445312,136.4259243570348
C,0.5218982696533203,162.86698949291915
C,0.5052089691162109,170.22658990089664
C,0.5307197570800781,162.04408984725967
B,0.5857944488525391,146.80917541717542
A,0.4112720489501953,209.10732985507246
C,0.9377002716064453,91.71374116450546
C,0.6008148193359375,143.13894603174603
C,0.4832744598388672,177.95271040947213
C,0.5161762237548828,166.60976628175518
C,0.19311904907226562,440.14301234567904
B,0.5137920379638672,167.3828974477958
C,0.6349086761474609,135.45255125797974
C,0.5910396575927734,143.81437676482452
C,0.5681514739990234,149.60798992866134
B,0.4603862762451172,184.6275712066287
C,0.4703998565673828,182.8231849974658
B,0.232696533203125,369.58006557377047
C,0.21600723266601562,384.2463929359823
C,0.5512237548828125,156.0164982698962
C,0.46944618225097656,181.0644184865414
C,0.5445480346679688,157.92913485113834
B,0.5118846893310547,168.00658779692594
C,0.5843639373779297,147.16856140350876
C,0.2951622009277344,287.97725363489496
C,0.4730224609375,181.80954838709678
B,0.5629062652587891,152.77854468445574
C,0.47469139099121094,181.1703385233551
C,0.28252601623535156,304.3967459915612
C,0.21219253540039062,400.579595505618
C,0.37741661071777344,227.86490461149717
B,0.3771781921386719,225.3576738305942
C,0.47969818115234375,179.27939562624255
C,0.5254745483398438,163.66158983666062
B,0.5819797515869141,147.77146415403524
C,0.48470497131347656,177.4275179537629
B,0.6086826324462891,141.28873638856248
C,0.2734661102294922,314.4813809938971
B,0.31685829162597656,268.2587208427389
C,0.5419254302978516,156.84814782226132
C,0.2498626708984375,344.18906870229006
B,0.6728172302246094,126.3344578313253
C,0.4780292510986328,177.81338653366583
C,0.37026405334472656,232.26667353509336
C,0.5993843078613281,143.4805664280032
B,0.5595684051513672,153.68987814230934
C,0.5574226379394531,154.281498716852
A,0.2758502960205078,308.1381503889369
C,0.47397613525390625,179.3339235412475
C,0.5543231964111328,155.14414795698926
B,0.23889541625976562,359.9901636726547
B,0.35572052001953125,241.76283109919572
B,0.2727508544921875,315.30606993006995
B,0.2956390380859375,290.89527741935484
B,0.2899169921875,296.63663157894734
B,0.3924369812011719,219.14346537059538
B,0.22864341735839844,371.75791449426487
B,0.3046989440917969,282.2458090766823
B,0.29087066650390625,295.6640524590164
A,0.24247169494628906,354.6805742379548
B,0.2181529998779297,394.21873661202187
B,0.247955322265625,346.83667692307694
B,0.2720355987548828,316.13509553023664
A,0.15997886657714844,537.5710044709389
B,0.21028518676757812,408.9684172335601
B,0.26798248291015625,320.91649822064056
A,0.24056434631347656,357.49270961347867
B,0.2911090850830078,295.4219033579034
B,0.23031234741210938,373.4059461697723
A,0.30350685119628906,283.35439434406914
B,0.2396106719970703,358.9155661691542
A,0.12826919555664062,670.4649516728624
B,0.2903938293457031,292.7059441707718
B,0.2276897430419922,373.31501570680626
B,0.22935867309570312,374.95856964656963
B,0.23317337036132812,368.8242781186094
B,0.2429485321044922,353.9844396467125
B,0.2238750457763672,379.67608093716717
B,0.30493736267089844,282.0251321344801
B,0.23412704467773438,367.3219389002037
B,0.22220611572265625,382.5277253218884
B,0.278472900390625,308.8271780821918
B,0.232696533203125,365.2826229508197
B,0.26106834411621094,325.5852420091324
B,0.31185150146484375,275.7722813455658
B,0.25272369384765625,336.33569811320757
B,0.2818107604980469,305.1693265651438
A,0.29540061950683594,291.13005972558517
B,0.2579689025878906,333.3735157116451
B,0.2300739288330078,373.7928953367876
A,0.2989768981933594,287.6476427432217
B,0.2665519714355469,322.63876923076924
B,0.2815723419189453,305.4277256562235
B,0.17070770263671875,503.78511731843577
B,0.2357959747314453,364.72208695652176
B,0.27680397033691406,307.0765202411714
B,0.10442733764648438,823.5391415525114
B,0.23508071899414062,365.83178904665317
B,0.17881393432617188,480.9468586666667
B,0.26106834411621094,329.4156566210046
B,0.25773048400878906,329.8018871415356
B,0.286102294921875,300.5917866666667
B,0.2765655517578125,310.95702068965517
B,0.2205371856689453,389.95691243243243
B,0.9272098541259766,92.75138698894317
B,0.2574920654296875,330.10725925925925
